GLOBALEVENTID,SQLDATE,Actor1Geo_FullName,Actor2Geo_FullName,DATEADDED,SOURCEURL,AvgTone
468301730,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301731,20150919,"Abuja, Abuja Federal Capital Territory, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919054500,http://www.thisdaylive.com/articles/boko-haram-ganduje-cautions-against-negotiating-with-fake-group/220627/,0.56022408963585
468301732,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301733,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301734,20150919,Niger,Niger,20150919054500,http://www.sify.com/news/boko-haram-violence-displaces-14-million-children-in-nigeria-and-beyond--unicef-news-international-pjtjcwiaaccda.html,-4.6875
468301735,20150919,Nigeria,Niger,20150919054500,http://www.sify.com/news/boko-haram-violence-displaces-14-million-children-in-nigeria-and-beyond--unicef-news-international-pjtjcwiaaccda.html,-4.6875
468301736,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301737,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301738,20150919,"Kano, Kano, Nigeria","Kano, Kano, Nigeria",20150919054500,http://www.thisdaylive.com/articles/boko-haram-ganduje-cautions-against-negotiating-with-fake-group/220627/,0.56022408963585
468301739,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301740,20150919,"Abuja, Abuja Federal Capital Territory, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919054500,http://www.thisdaylive.com/articles/saudi-crane-crash-fg-to-ensure-payment-of-sr7-5-m-compensation-to-victims/220629/,-2.00729927007299
468301741,20150919,Nigeria,Nigeria,20150919054500,http://businessnews.com.ng/2015/09/19/neca-opposes-cpcs-regulatory-role/,-2.80112044817927
468301742,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468301743,20150919,"Kano, Kano, Nigeria","Kano, Kano, Nigeria",20150919054500,http://www.thisdaylive.com/articles/boko-haram-ganduje-cautions-against-negotiating-with-fake-group/220627/,0.56022408963585
468301744,20150919,"Abuja, Abuja Federal Capital Territory, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919054500,http://www.thisdaylive.com/articles/boko-haram-ganduje-cautions-against-negotiating-with-fake-group/220627/,0.56022408963585
468301745,20150919,"Yahaya, Kebbi, Nigeria","Yahaya, Kebbi, Nigeria",20150919054500,http://www.thisdaylive.com/articles/anti-corruption-cas-calls-for-transparent-defence-equipment-weaponry-procurement/220630/,-1.49863760217983
468303021,20150919,Nigeria,Nigeria,20150919053000,http://www.diariodeleon.es/noticias/sociedad/victimas-trata-seran-indemnizadas-incautaciones_1009287.html,-5.04587155963303
468303022,20150919,"Gwoza, Borno, Nigeria","Gwoza, Borno, Nigeria",20150919053000,http://orf.at/stories/2299851/,0.0
468303905,20150919,China,"Sokoto, Sokoto, Nigeria",20150919060000,http://leadership.ng/news/461828/china-town-to-be-built-in-sokoto-soon-tambuwal,5.09554140127389
468304905,20150919,"Gwoza, Borno, Nigeria","Gwoza, Borno, Nigeria",20150919054500,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/nigeria_liberta_90_pessoas_apos_retirada_de_grupo_boko_haram_no_nordeste____exercito.html,0.0
468306077,20150919,Nigeria,Nigeria,20150919061500,http://www.ngrguardiannews.com/2015/09/state-of-medical-centres-in-nigerian-tertiary-institutions/,-3.33333333333333
468306078,20150919,"Kaduna, Kaduna, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919061500,http://allafrica.com/stories/201509190033.html,-1.24610591900311
468306079,20150919,China,China,20150919061500,http://allafrica.com/stories/201509190033.html,-1.24610591900311
468306080,20150919,Nigeria,Nigeria,20150919061500,http://www.ngrguardiannews.com/2015/09/rip-off-group-warns-mtn-of-imminent-protest/,-6.0377358490566
468306081,20150919,"Abule-Egba, Nigeria (general), Nigeria","Abule-Egba, Nigeria (general), Nigeria",20150919061500,http://www.ngrguardiannews.com/2015/09/monsuru-lasisi-at-the-mercy-of-spinal-chord-injury/,-4.52830188679246
468306082,20150919,Nigeria,Nigeria,20150919061500,http://www.ngrguardiannews.com/2015/09/state-of-medical-centres-in-nigerian-tertiary-institutions/,-3.33333333333333
468306083,20150919,Senegal,Benin,20150919061500,http://www.promptnewsonline.com/nigerias-president-condemns-coup-detat-in-burkina-faso/,2.16606498194946
468306084,20150919,Burkina Faso,Burkina Faso,20150919061500,http://www.promptnewsonline.com/nigerias-president-condemns-coup-detat-in-burkina-faso/,2.16606498194946
468306085,20150919,Nigeria,Nigeria,20150919061500,http://www.promptnewsonline.com/nigerias-president-condemns-coup-detat-in-burkina-faso/,2.16606498194946
468306086,20150919,Nigeria,Burkina Faso,20150919061500,http://www.promptnewsonline.com/nigerias-president-condemns-coup-detat-in-burkina-faso/,2.16606498194946
468306087,20150919,"Kaduna, Kaduna, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919061500,http://allafrica.com/stories/201509190033.html,-1.24610591900311
468306088,20150919,"Dissa, Borno, Nigeria","Dissa, Borno, Nigeria",20150919061500,http://www.skynews.com.au/news/world/africa/2015/09/19/nigeria-frees-90-from-boko-haram--army.html,-1.53846153846154
468308265,20150919,"Kaduna, Kaduna, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919063000,http://ynaija.com/adams-oshiomhole-edo-state-sovereign-wealth-fund-uche-orji-depleted/,0.5449591280654
468308266,20150919,Nigeria,Nigeria,20150919063000,http://www.promptnewsonline.com/nans-wants-wike-to-help-abandoned-rivers-students-in-diaspora/,-0.49261083743842
468308267,20150919,Nigeria,Nigeria,20150919063000,http://www.promptnewsonline.com/nans-wants-wike-to-help-abandoned-rivers-students-in-diaspora/,-0.49261083743842
468308268,20150919,"Rivers State, Rivers, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150919063000,http://dailypost.ng/2015/09/19/rivers-election-tribunal-inec-presents-one-witness-seeks-adjournment/,1.06382978723404
468308269,20150919,"Rivers State, Rivers, Nigeria","Rivers State, Rivers, Nigeria",20150919063000,http://dailypost.ng/2015/09/19/rivers-election-tribunal-inec-presents-one-witness-seeks-adjournment/,1.06382978723404
468308270,20150919,Nigeria,"New Hampshire, United States",20150919063000,https://politics.concordmonitor.com/2015/09/gov-federal/for-african-journalists-in-n-h-a-closer-taste-of-american-politics/,-0.13333333333333
468308271,20150919,Nigeria,Nigeria,20150919063000,https://politics.concordmonitor.com/2015/09/gov-federal/for-african-journalists-in-n-h-a-closer-taste-of-american-politics/,-0.13333333333333
468308272,20150919,Nigeria,Nigeria,20150919063000,http://www.promptnewsonline.com/nans-wants-wike-to-help-abandoned-rivers-students-in-diaspora/,-0.49261083743842
